shift_id,staff_AMKA
1,02875740589
1,38059519484
1,42685179736
1,43302650996
1,53334972969
1,53811683710
1,69100822421
1,80619499913
1,81246437862
1,81413447609
1,88623065940
2,11983097542
2,14753369524
2,20039344907
2,29591257349
2,50814322987
2,54182991269
2,59989625869
2,69390894131
2,73447945923
2,86108597358
2,99002772910
3,00953662195
3,05133793766
3,38118081896
3,41572814361
3,51746564260
3,57617073174
3,74599841337
3,77939801220
3,80228017710
3,90479865716
3,97704116788
4,06095806274
4,17825601999
4,17989022379
4,20084842648
4,46010413135
4,52390041524
4,54189258831
4,69427674831
4,76425507868
4,81372298210
4,87451202201
5,19362526022
5,20619019333
5,25111903594
5,26400933396
5,30000886346
5,39459942640
5,39677054673
5,44215783792
5,57908945896
5,77405458661
5,88601674492
6,05048715905
6,12693794999
6,30990009406
6,37185921268
6,48078053833
6,51798387135
6,66034982468
6,68017703163
6,85133117860
6,92669370632
6,98977475944
7,20941010276
7,32358418029
7,33790294037
7,37676874042
7,50765573748
7,68740330454
7,71487831031
7,71776296914
7,73420319777
7,89868184397
7,99944946672
8,00402728986
8,02716988371
8,03161340799
8,04484673322
8,39032143031
8,49560714876
8,51455795372
8,62542926456
8,63289591038
8,92324687220
8,97906085481
9,11239933025
9,15321801130
9,18325276252
9,28780661545
9,36444329691
9,39461212898
9,50842324234
9,62515759514
9,85537304376
9,90417282076
9,92704723344
10,08581810450
10,21824140817
10,23221091294
10,32645257330
10,39142652012
10,55261510705
10,85095914504
10,85324367924
10,88681025312
10,94128866911
10,95592277641
11,12584233008
11,17430688116
11,24093986639
11,37327839692
11,57285353399
11,69158557490
11,73586671554
11,84287416279
11,86604747338
11,96192126974
11,99354752112
12,02140128331
12,04662750152
12,05347283951
12,23028655052
12,43370049174
12,50848528467
12,73123155505
12,75193784953
12,81405132517
12,93500115461
12,97024404310
13,05270436922
13,20224175616
13,26447893785
13,33295945231
13,44509998632
13,44890932253
13,45595562168
13,56291796441
13,64170053718
13,78130499504
13,90093781460
14,10740274067
14,29116479246
14,35107651917
14,42330292764
14,42577727745
14,42954496695
14,66028653839
14,79403664016
14,86870479666
14,91700522918
14,98189397204
15,04131667752
15,08170032762
15,19360060827
15,34517392229
15,54288734496
15,79730294069
15,80253084376
15,82070669010
15,83569997125
15,88390397997
15,89484817036
16,02320914016
16,04762539501
16,06094175024
16,39117766650
16,49121879065
16,56862230706
16,69480450735
16,71170648579
16,81420438450
16,82119569646
16,92233854033
17,14447189395
17,14622014833
17,43963994959
17,44000407560
17,44088331838
17,50557779174
17,53830775582
17,53891624410
17,67148030073
17,70014413068
17,95616225647
18,06611262030
18,24165185483
18,33513901430
18,37435670277
18,39852381828
18,42716186286
18,53202546167
18,54176755398
18,58618881786
18,62241976878
18,89676353673
19,15634526362
19,31539839122
19,48722557856
19,59916764032
19,63712063175
19,68656292582
19,76810248085
19,82526990185
19,91141600916
19,94410238735
19,95337684187
20,02825326769
20,08785710933
20,14617275804
20,27299043881
20,30049992665
20,42206185069
20,67080897474
20,86497035067
20,86965371557
20,91171740034
20,96920666048
21,18466898593
21,27192602611
21,47640006875
21,52824685492
21,60954700603
21,67088550694
21,72818291278
